source,target
1,6
2,6
3,6
4,6
5,20
6,1
6,2
6,3
6,4
6,9
6,11
6,12
6,13
6,14
6,20
7,12
7,32
8,9
8,14
9,6
9,8
9,13
9,14
9,20
11,6
11,15
11,16
11,17
12,6
12,7
12,20
12,32
13,6
13,9
13,14
13,20
13,22
14,6
14,8
14,9
14,13
14,15
14,19
14,20
14,23
14,30
14,31
15,11
15,14
16,11
17,11
17,18
17,20
18,17
19,14
19,20
19,23
19,30
20,5
20,6
20,9
20,12
20,13
20,14
20,17
20,19
20,24
20,25
20,26
20,27
20,28
20,31
20,32
20,33
20,34
21,28
22,13
23,14
23,19
23,29
23,30
24,20
24,25
24,26
25,20
25,24
25,26
26,20
26,24
26,25
26,29
26,32
26,33
27,20
28,20
28,21
29,23
29,26
30,14
30,19
30,23
31,14
31,20
32,7
32,12
32,20
32,26
32,33
32,34
32,35
32,36
32,37
33,20
33,26
33,32
34,20
34,32
35,32
36,32
37,32
